BPID,ClientID,CompanyName,OrgNo,DateofReport,EventNo,Event,PostedDate,ComplianceStatus,AuditStatus,ClientName,OverDueDaysCount,TotalTransaction,AccountStatus
194,1,SAAIF HOLDINGS LTD,7079142,15/12/2021 6:24:00 pm,5,"Change in Reg.Office",22/12/2021 6:24:00 pm,Overdue,,A N EXPRESS LIMITE,0,0,
195,1,INSPIRON NETWORKS LTD,10230504,15/12/2021 6:24:00 pm,1,"Suspension of striking off letter",22/12/2021 6:24:00 pm,Pending,Open,A N EXPRESS LIMITE,0,0,
196,1,INSPIRON NETWORKS LTD,10230504,15/12/2021 6:24:00 pm,2,"Vol. Dissolution Suspended",22/12/2021 6:24:01 pm,Pending,Return,A N EXPRESS LIMITE,0,0,
197,52,INSPIRON NETWORKS LTD,10230504,15/12/2021 6:24:00 pm,3,"Dissolution (First Gazt)",22/12/2021 6:24:01 pm,Overdue,Overdue,INSPIRON NETWORKS LTD,0,0,
198,1,INSPIRON NETWORKS LTD,10230504,15/12/2021 6:24:00 pm,4,"Vol. Dissolution Requested",22/12/2021 6:24:02 pm,Overdue,,A N EXPRESS LIMITE,0,0,
199,1,INSPIRON NETWORKS LTD,10230504,15/12/2021 6:24:00 pm,5,"New Board Member Mr W.A. Zafar appointed",22/12/2021 6:24:02 pm,Pending,,A N EXPRESS LIMITE,0,0,
200,1,M&M FASHION LIMITED,10961747,15/12/2021 6:24:00 pm,4,"New Board Member Mr M. Hazifa appointed",22/12/2021 6:24:03 pm,Complete,Verified,A N EXPRESS LIMITE,0,0,
201,1,GROUP R-US LIMITED,12220123,15/12/2021 6:24:00 pm,1,"Suspension of striking off letter",22/12/2021 6:24:03 pm,Overdue,,A N EXPRESS LIMITE,0,0,
202,1,GROUP R-US LIMITED,12220123,15/12/2021 6:24:00 pm,2,"Dissolution (First Gazt)",22/12/2021 6:24:04 pm,Overdue,,A N EXPRESS LIMITE,0,0,
240,1,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 9:48:21 am,Overdue,,A N EXPRESS LIMITE,0,0,
241,1,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,3,"Dissolution (First Gazt)",31/12/2021 9:48:22 am,Overdue,,A N EXPRESS LIMITE,0,0,
242,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 10:41:31 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
243,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,3,"Dissolution (First Gazt)",31/12/2021 10:41:32 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
244,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 10:42:49 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
248,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:16:47 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
249,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:27:55 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
250,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:36:12 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
251,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:42:03 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
252,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:50:31 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
253,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 11:59:07 am,Overdue,,INSPIRON NETWORKS LTD,0,0,
254,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",31/12/2021 1:22:48 pm,Overdue,,INSPIRON NETWORKS LTD,0,0,
255,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",12/01/2022 5:35:45 pm,Open,,INSPIRON NETWORKS LTD,0,0,
256,52,INSPIRON NETWORKS LTD,10230504,15/11/2021 12:00:00 am,2,"Vol. Dissolution Suspended",12/01/2022 5:50:04 pm,Open,,INSPIRON NETWORKS LTD,0,0,
